List,Task Name,Description,Status,Legacy ID,Tier,Provenance,Attempts,Premise gate,Blocked by (legacy)
Human gates,T052 — **HUMAN GATE** — production email enablement,"**Legacy ledger row:** `T052`

**Type / provenance:** E8

**Title:** **HUMAN GATE** — production email enablement

**Status at migration:** Blocked

---

**2026-07-19, George**: confirmed the `digest_enabled`-vs-`weekly_digest` question — `weekly_digest` alone correctly gates the weekly-digest send; `digest_enabled` is unused/vestigial for now, no follow-up task needed. That question is now closed. Still externally blocked pending George's `mail.voltfrc.org` Resend domain verification (SPF/DKIM/DMARC) and final explicit sign-off to flip `RESEND_SEND_MODE` to `'production'` (constitution item 16) — no automated checker may approve this last step.",Human gate,T052,,checker,0,not-run,T051
Human gates,T063 — **HUMAN GATE** — MIG-04 validation gates + sign-off,"**Legacy ledger row:** `T063`

**Title:** **HUMAN GATE** — MIG-04 validation gates + sign-off

**Status at migration:** **Validation report produced and OWNER-SIGNED-OFF 2026-08-01 — `56a9574`**

---

**The blocker was permanent, not pending.** This row sat blocked for weeks on `OLD_SUPABASE_URL`/`OLD_SERVICE_ROLE_KEY`. Those credentials **do not exist and cannot be obtained** — the old app runs on **Lovable Cloud**, which keeps Postgres inside its own platform and exposes no service-role key. Confirmed with the owner directly, after checking his Supabase org (only `volt-timetracker`) and Lovable's Secrets page (only `LOVABLE_API_KEY`). **Resolved by changing the source, not chasing the key.** The owner exported six tables as JSON from Lovable's SQL editor; a new `JsonFileOldDataSource` implements the **existing** `OldDataSource` interface, so `transform.ts` and every mapping rule are untouched. New `--from-dir=<path>` flag; `--dry-run --from-dir` needs **zero env vars**. **Report (reproduced independently by the orchestrator with old-project env vars unset):** teams 4 · seasons 1 · students 20 · events 16 · event_sessions 117 · **rsvps 254** · **attendance 79** · unmatched teams **0** · unparseable times **0** · attendees-backfill mismatches **0**. The 79 attendance rows carry **341.75 hours**. All eight figures match the orchestrator's own pre-ETL measurements from the raw exports. **Owner signed off:** *""looks good to me.""* **Scope honesty:** the dry run writes nothing, so this proves the **transform**, not the write. The real `--from-dir` write path is wired but unexercised — it needs `NEW_SERVICE_ROLE_KEY` and the owner's cutover decision (item 16). **T064/T065 remain open.** **Worker corrected the orchestrator's own baseline** (stated 1746 tests; `main` is 1777) rather than accepting it.",Human gate,T063,,other,0,not-run,"T062, T014"
W7,T064 — Roster → accounts post-migration verification (MIG-05),"**Legacy ledger row:** `T064`

**Type / provenance:** E10

**Title:** Roster → accounts post-migration verification (MIG-05)

**Status at migration:** Blocked

---

None",Filed,T064,,other,0,not-run,
Human gates,T065 — **HUMAN GATE** — MIG-06 cutover,"**Legacy ledger row:** `T065`

**Type / provenance:** E10

**Title:** **HUMAN GATE** — MIG-06 cutover

**Status at migration:** Blocked

---

None",Human gate,T065,,other,0,not-run,
Human gates,T070 — **HUMAN GATE** — Vercel domain go-live,"**Legacy ledger row:** `T070`

**Type / provenance:** E11

**Title:** **HUMAN GATE** — Vercel domain go-live

**Status at migration:** Blocked

---

None",Human gate,T070,,other,0,not-run,"T066, T067, T068, T069"
W7,T159 — `StudentDialog.season` was deferred pending T091; T091 landed and nothing followed up,"**Legacy ledger row:** `T159`

**Type / provenance:** Bug (latent) — same family as T155

**Title:** `StudentDialog.season` was deferred pending T091; T091 landed and nothing followed up

**Status at migration:** Filed

---

**Source: same external audit @ `2ec47d8`. Independently re-verified, measured.** `season?: ActiveSeasonGoalInfo` (`StudentDialog.tsx:414`) defaults to `DEFAULT_SEASON_INFO` (`:424`); `StudentsTab.tsx:317-324` documents omitting it *specifically* to avoid ""a false ordering dependency"" with T091, which is **Passed** (ledger `:171`). The blocker cleared; the follow-through was never filed — the deferral lived only in a module comment, which is exactly the failure constitution item 20 exists to prevent, recorded here as a fifth instance of it. **Fifth instance of the defect family** behind three of the owner's four production bugs: optional prop + plausible fixture default + call site passing nothing (after `OutreachEventDialog.teams`, `ScheduleMeetingsDialog.teams`, `CoachHome.seasonId`, `Leaderboard.seasonId`). **Why it is latent rather than visible, which is also why nothing caught it:** `DEFAULT_SEASON_INFO` is `{ defaultGoalHours: 100 }` and the real column default is `not null default 100`, so the fixture is indistinguishable from correct until a season is created with a different goal — at which point the student dialog silently uses 100. **Sequencing with T151:** `StudentDialog` carries a *fourth* optional-prop-with-fixture-default that T151's premise did not account for. T151 must not make `season` required without T159 supplying the value, or it forces a breaking change with nothing to pass. Order T159 before or with T151.",Filed,T159,,audit,0,not-run,T091
W7,T167 — ten remaining loaders have 0 tests — filed so they are not silently dropped,"**Legacy ledger row:** `T167`

**Type / provenance:** Test coverage (batch)

**Title:** ten remaining loaders have 0 tests — filed so they are not silently dropped

**Status at migration:** **⚠️ PREMISE PARTLY FALSE — re-measure before packeting.** Filed

---

**CORRECTION 2026-08-04.** This row comes from the **same external audit (`2ec47d8`) that was measured wrong on T161, T162, T163 and T321** — it counted **files named `<module>.test.ts`** rather than tests *of* a module. **Measured today, at least two of its ten named loaders already have dedicated test files:** `attendance.ts` (**12** tests) and `students.ts` (**23** tests, re-measured at `6c8b2dd` after T198 reworked that loader). The remaining eight (`teams`, `kiosk`, `seasons`, `invites`, `parents`, `accept`, `selfCheckoff`, `leaderboard_privacy`) have no dedicated file, but that is **not** the same as untested — T163 showed a loader can be covered entirely by its importers. **Do not treat this as ten untested loaders. Measure invocation, not filenames, and split the row by what is actually uncovered.** **Original row text follows.** **Source: external audit @ `2ec47d8`, ""explicitly out of scope for this pass"".** `teams.ts`, `kiosk.ts`, `attendance.ts`, `seasons.ts`, `students.ts`, `invites.ts`, `parents.ts`, `accept.ts`, `selfCheckoff.ts`, `leaderboard_privacy.ts`. Recorded as one row rather than ten, to be split when picked up. Context from T146's measurement: **81** `as …DbRow` casts across the loader directory, each able to hide an omitted column exactly as the `teams.color` bug did, against **zero** tests in the directory before T146. Roughly ten real sites use `.select('*')`, where a cast cannot hide an omission. The structural remedy — generated Supabase `Database` types, which would let the compiler catch omitted columns and make the casts unnecessary — remains unavailable (no generated types in repo; `client.ts`'s single `createClient` passes no `Database` generic) and is a separate, larger decision than any of T161–T167.",Filed,T167,,audit,0,not-run,
W7,T168 — the placeholder-default sweep covered 7 sites; `src/pages/**` and `src/components/**` are unswept,"**Legacy ledger row:** `T168`

**Type / provenance:** Audit (continuation) — **discovery only**

**Title:** the placeholder-default sweep covered 7 sites; `src/pages/**` and `src/components/**` are unswept

**Status at migration:** Filed

---

**BOUNDARY, added 2026-07-30 after the owner caught the orchestrator conflating the two halves.** T168 is **discovery only: it finds instances and produces findings. It fixes nothing.** Every instance found becomes its own work task through the normal worker→checker pipeline — as the five already found demonstrate: T151 (three dialogs' `teams`), T155 (`CoachHome.seasonId`), T158 (`Leaderboard.seasonId`), T159 (`StudentDialog.season`), T170 (`OutreachList.viewerStudentId`). So ""finish T168"" is a misleading phrase: completing the sweep leaves the whole remediation outstanding. **Consequence for delegation:** a plan-only session can perform T168's discovery and hand back drafts, but it cannot complete this row's remediation successors, and it must not be told it owns T168 — the orchestrator owns the row, the numbering, and every fix. Findings arrive as `docs/swarm/inbox/<branch>.md` and are folded in here. **Remediating the *mechanism* rather than the instances is separate work and is filed as T172.** **SWEEP RESULT, 2026-07-30 — `src/pages/**`/`src/components/**` is now covered** by external audit `claude/audit-batch-2` @ `c962b7f`, folded in and re-verified. It found **two** new confirmed instances (`StudentHome`'s three props → T176; `SubscribePopover.functionsBaseUrl` → T177), swept ~40 components clean with the per-component reasoning recorded in `docs/swarm/inbox/claude-audit-batch-2-t168-sweep.md`, and correctly declined to double-count `CoachHome.teamId` (already deferred by T155) and two props on unreachable components. **T168 is discovery-complete for the identity-placeholder shape. It is NOT complete for the class**, because verifying it surfaced a second shape the discriminator cannot see: a **function-typed default pointing at a fixture loader** (`ParentHome`, filed T181 — swept clean by the audit, yet its dashboard is entirely fabricated). Both shapes are the same defect; the second is harder to spot because `loadX` matches the codebase's legitimate DI convention. **A second discovery pass is needed for the fixture-loader shape before T168 can close**, and T172's mechanism must catch both or it will certify files like `ParentHome.tsx` as clean.",Filed,T168,,checker,0,not-run,
W10,T171 — T154's no-stale-frame property is true in the code and pinned by nothing,"**Legacy ledger row:** `T171`

**Type / provenance:** Debt / test integrity

**Title:** T154's no-stale-frame property is true in the code and pinned by nothing

**Status at migration:** Filed (item 20, from T154's PASS)

---

**MINOR carried from T154's PASS, measured by the checker and worth more than its grade suggests.** Moving the re-seed out of the render body into a `useEffect` keyed on `[user, lastSeededUserId]` — a change that demonstrably reintroduces a stale frame — leaves **all 36 tests passing**. The property IS true in the shipped code (measured: commits are `[""none:dark"",""user-bob:light""]` shipped vs `[""none:dark"",""user-bob:dark"",""user-bob:light""]` under the mutation, the middle entry being Bob signed in with Alice's theme still on screen), but nothing would notice if it broke. **Two independent causes, both instructive.** (1) `RecordingProbe` consumes only `useThemeMode()`, and the provider's `useMemo(() => ({mode, refresh}), [mode, refresh])` memoizes the consumer away when `user` changes but `mode` does not — so a stale commit is structurally invisible to it. Only a **dual-context** recorder (`useThemeMode()` **and** `useAuth()`) can see it. (2) The test literally named `the stale theme never reaches the DOM even for one frame during the switch` does `renders.slice(beforeSwitch).filter((m) => m !== 'dark')` and asserts on the survivors — **it filters out the very value it should assert absent**, so `['dark','light']` passes. **This is the round-1 failure shape recurring inside the one test written to prevent it**, which is why it is filed rather than logged. Fix: dual-context recorder asserting `not.toContain('user-bob:dark')` on commits after the switch, and drop the `.filter`. Acceptance: moving the re-seed into a `useEffect` must fail the suite; it currently does not. The checker also corrected itself here — its own first strict `not.toContain('dark')` probe reported no stale frame under the mutation and was worthless for the same structural reason.",Filed,T171,,checker,0,not-run,T154
W10,"T172 — make the placeholder-default class structurally hard to reintroduce, instead of sweeping for it forever","**Legacy ledger row:** `T172`

**Type / provenance:** **Debt (mechanism)** — actual work, not an audit

**Title:** make the placeholder-default class structurally hard to reintroduce, instead of sweeping for it forever

**Status at migration:** Filed

---

**Filed 2026-07-30 because the owner caught the orchestrator treating ""audit the class"" and ""fix the class"" as one thing.** T168 finds instances; T151/T155/T158/T159/T170 fix individual instances; **nothing yet stops the sixth pattern becoming a seventh.** Every instance has the identical shape — an optional prop, a plausible fixture default, and a call site that passes nothing — and it has produced **three of the owner's four production bugs**, plus two more found only by audit. The instance-by-instance approach cannot converge: `src/pages/**` and `src/components/**` are still unswept, and a new component added tomorrow can reintroduce it with a green suite. **Candidate mechanisms, to be chosen in the packet, not here.** (a) A lint rule or `tsc`-level check flagging an optional prop whose default is a module-level fixture constant — cheap, mechanical, runs on every commit, and directly encodes the discriminator. (b) Generalise T151: make these props **required** wherever a fixture default exists, which the T151 probe measured as far cheaper than feared (34 TS2741 errors, **zero in production source**, all in two test files) — the compiler then enforces it permanently. (c) Naming convention plus a grep gate, weakest of the three. **Prefer (b) then (a):** (b) is enforcement by the type system rather than by a convention someone must remember, and today's measurement shows the cost is a test-file change, not a refactor. **A fourth shape, found during T176:** the same *metric* coalesce is duplicated in TypeScript in **four** places (`StudentHome.tsx:815`, `HoursTab.tsx:449`, `csvExport.test.ts:372`, `CoachHome.tsx:979 sumGoalHours`) against **one** SQL definition in `v_student_goal_projection`. T176's MAJOR was one instance of exactly this, and consolidating the four is the general form of that fix. **Sequenced after T151** so the pattern is proven on three real dialogs before being generalised, and after T168 so the true instance count is known rather than estimated. Relates to `architecture-review-parallelism.md` §3.2, which argues the same case for turning a judgement into a computed property.",Filed,T172,,audit,0,not-run,T151
